Loan_ID,Applicant_ID,Loan_Amount,Loan_Term_Months,Interest_Rate,Loan_Purpose,Loan_Status
L001,A001,1060734,240,9.31,Personal,Approved
L002,A002,2415051,120,12.39,Home,Rejected
L003,A003,2374314,120,12.04,Education,Approved
L004,A004,2433854,240,11.4,Education,Approved
L005,A005,1018501,60,11.59,Car,Approved
L006,A006,2371134,180,9.28,Home,Approved
L007,A007,1371966,180,8.8,Personal,Rejected
L008,A008,2075808,120,12.28,Education,Approved
L009,A009,1124686,36,8.63,Car,Rejected
L010,A010,1057204,180,10.62,Personal,Approved
L011,A011,2211057,120,11.5,Home,Approved
L012,A012,1829637,60,9.89,Car,Rejected
L013,A013,1594678,36,11.5,Business,Rejected
L014,A014,1883538,36,11.12,Car,Approved
L015,A015,315548,60,10.45,Business,Approved
L016,A016,2189597,120,8.28,Personal,Approved
L017,A017,289744,36,11.5,Home,Approved
L018,A018,2019528,60,11.63,Car,Approved
L019,A019,1256271,60,8.96,Car,Rejected
L020,A020,1287854,240,9.6,Car,Approved
L021,A021,1683877,180,10.81,Personal,Rejected
L022,A022,2304068,60,10.16,Personal,Approved
L023,A023,2046017,60,10.54,Car,Approved
L024,A024,793741,180,10.6,Home,Approved
L025,A025,1567268,240,10.15,Business,Approved
L026,A026,438331,60,8.46,Home,Approved
L027,A027,2329506,180,10.31,Home,Rejected
L028,A028,1565722,240,12.37,Personal,Approved
L029,A029,1362600,180,10.04,Business,Approved
L030,A030,2394500,120,12.11,Car,Rejected
