student_id,month,course,age,study_hours,marks,fees_paid
S001,Jan,DA,21,2,45,30000
S002,Jan,DS,22,3,50,40000
S003,Jan,Python,23,4,55,25000
S004,Jan,DA,24,5,60,30000
S005,Jan,DS,25,6,65,40000
S006,Feb,Python,21,2,48,25000
S007,Feb,DA,22,3,52,30000
S008,Feb,DS,23,4,58,40000
S009,Feb,Python,24,5,62,25000
S010,Feb,DA,25,6,68,30000
S011,Mar,DS,21,2,46,40000
S012,Mar,Python,22,3,53,25000
S013,Mar,DA,23,4,57,30000
S014,Mar,DS,24,5,63,40000
S015,Mar,Python,25,6,69,25000
S016,Apr,DA,21,2,47,30000
S017,Apr,DS,22,3,54,40000
S018,Apr,Python,23,4,59,25000
S019,Apr,DA,24,5,64,30000
S020,Apr,DS,25,6,70,40000
S021,May,Python,21,2,49,25000
S022,May,DA,22,3,55,30000
S023,May,DS,23,4,60,40000
S024,May,Python,24,5,66,25000
S025,May,DA,25,6,72,30000
S026,Jun,DS,21,2,50,40000
S027,Jun,Python,22,3,56,25000
S028,Jun,DA,23,4,61,30000
S029,Jun,DS,24,5,67,40000
S030,Jun,Python,25,6,74,25000
S031,Jul,DA,21,2,44,30000
S032,Jul,DS,22,3,51,40000
S033,Jul,Python,23,4,58,25000
S034,Jul,DA,24,5,63,30000
S035,Jul,DS,25,6,71,40000
S036,Aug,Python,21,2,46,25000
S037,Aug,DA,22,3,53,30000
S038,Aug,DS,23,4,60,40000
S039,Aug,Python,24,5,68,25000
S040,Aug,DA,25,6,75,30000
S041,Sep,DS,21,2,48,40000
S042,Sep,Python,22,3,55,25000
S043,Sep,DA,23,4,62,30000
S044,Sep,DS,24,5,69,40000
S045,Sep,Python,25,6,77,25000
S046,Oct,DA,21,2,49,30000
S047,Oct,DS,22,3,56,40000
S048,Oct,Python,23,4,64,25000
S049,Oct,DA,24,5,71,30000
S050,Oct,DS,25,6,78,40000
S051,Nov,Python,21,2,50,25000
S052,Nov,DA,22,3,58,30000
S053,Nov,DS,23,4,65,40000
S054,Nov,Python,24,5,72,25000
S055,Nov,DA,25,6,80,30000
S056,Dec,DS,21,2,52,40000
S057,Dec,Python,22,3,60,25000
S058,Dec,DA,23,4,67,30000
S059,Dec,DS,24,5,75,40000
S060,Dec,Python,25,6,82,25000
S061,Jan,DA,26,7,78,30000
S062,Jan,DS,27,8,85,40000
S063,Jan,Python,28,9,88,25000
S064,Feb,DA,26,7,79,30000
S065,Feb,DS,27,8,86,40000
S066,Feb,Python,28,9,89,25000
S067,Mar,DA,26,7,80,30000
S068,Mar,DS,27,8,87,40000
S069,Mar,Python,28,9,90,25000
S070,Apr,DA,26,7,81,30000
S071,Apr,DS,27,8,88,40000
S072,Apr,Python,28,9,91,25000
S073,May,DA,26,7,82,30000
S074,May,DS,27,8,89,40000
S075,May,Python,28,9,92,25000
S076,Jun,DA,26,7,83,30000
S077,Jun,DS,27,8,90,40000
S078,Jun,Python,28,9,93,25000
S079,Jul,DA,26,7,84,30000
S080,Jul,DS,27,8,91,40000
S081,Jul,Python,28,9,94,25000
S082,Aug,DA,26,7,85,30000
S083,Aug,DS,27,8,92,40000
S084,Aug,Python,28,9,95,25000
S085,Sep,DA,26,7,86,30000
S086,Sep,DS,27,8,93,40000
S087,Sep,Python,28,9,96,25000
S088,Oct,DA,26,7,87,30000
S089,Oct,DS,27,8,94,40000
S090,Oct,Python,28,9,97,25000
S091,Nov,DA,26,7,88,30000
S092,Nov,DS,27,8,95,40000
S093,Nov,Python,28,9,98,25000
S094,Dec,DA,26,7,89,30000
S095,Dec,DS,27,8,96,40000
S096,Dec,Python,28,9,99,25000
S097,Dec,DA,29,10,100,30000
S098,Dec,DS,30,10,98,40000
S099,Dec,Python,29,10,97,25000
S100,Dec,DA,30,10,99,30000
