Student_ID,Student_Name,Gender,Age,City,Course_ID,Batch,Admission_Date,Fees_Paid,Attendance,Marks,Placement_Status
S001,Student_1,Male,25,Pune,C101,B3,2025-01-08,33024,75,59,Yes
S002,Student_2,Female,25,Pune,C101,B3,2025-01-15,42651,62,46,Yes
S003,Student_3,Male,21,Mumbai,C101,B3,2025-01-22,28031,94,71,Yes
S004,Student_4,Female,23,Nagpur,C101,B1,2025-01-29,42696,81,62,Yes
S005,Student_5,Male,21,Nagpur,C101,B1,2025-02-05,39898,66,67,No
S006,Student_6,Female,24,Nagpur,C101,B3,2025-02-12,45108,94,52,No
S007,Student_7,Male,20,Nagpur,C103,B3,2025-02-19,27601,64,47,Yes
S008,Student_8,Female,22,Pune,C102,B1,2025-02-26,39911,77,74,No
S009,Student_9,Male,21,Nagpur,C103,B1,2025-03-05,32496,64,83,Yes
S010,Student_10,Female,24,Mumbai,C102,B2,2025-03-12,39867,77,85,Yes
S011,Student_11,Male,25,Nagpur,C101,B1,2025-03-19,17103,80,70,No
S012,Student_12,Female,20,Mumbai,C103,B1,2025-03-26,47717,85,86,No
S013,Student_13,Male,21,Nagpur,C102,B1,2025-04-02,32219,97,72,No
S014,Student_14,Female,22,Mumbai,C102,B3,2025-04-09,47343,65,93,Yes
S015,Student_15,Male,20,Mumbai,C102,B3,2025-04-16,42666,98,49,No
S016,Student_16,Female,23,Nashik,C103,B3,2025-04-23,15752,67,88,No
S017,Student_17,Male,25,Nagpur,C101,B2,2025-04-30,43492,70,74,Yes
S018,Student_18,Female,25,Nagpur,C102,B3,2025-05-07,21973,100,64,Yes
S019,Student_19,Male,21,Nagpur,C102,B3,2025-05-14,49757,60,83,No
S020,Student_20,Female,23,Pune,C101,B2,2025-05-21,35153,75,48,Yes
